area-name,duoarea,period,process,process-name,product,product-name,series,series-description,units,value
USA-MI,SMI,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SMI_1,Michigan Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,2
NA,RLAN,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RLAN_1,Louisiana - North Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,12
USA-MS,SMS,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SMS_1,Mississippi Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,3
NA,RNMWEST,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RNMWEST_1,New Mexico - West Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,0
USA-IL,SIL,2018,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SIL_1,Illinois Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,
NA,RCASF,2018,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03RCASF_1,California State Offshore Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,44
NA,RTX06,2018,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03RTX06_1,Texas - RRC District 6 Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,13
USA-IN,SIN,2018,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SIN_1,Indiana Crude Oil Reserves Adjustments (Million Barrels),MMBBL,
USA-UT,SUT,2018,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SUT_1,Utah Crude Oil Reserves Adjustments (Million Barrels),MMBBL,31
USA-NM,SNM,2018,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SNM_1,New Mexico Crude Oil Reserves Adjustments (Million Barrels),MMBBL,9
NA,RLASF,2018,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02RLASF_1,Louisiana State Offshore Crude Oil Reserves Adjustments (Million Barrels),MMBBL,10
NA,R44F,2018,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02R44F_1,Gulf of America Federal Offshore  (Western) Crude Oil Reserves Adjustments (Million Barrels),MMBBL,-1
OHIO,SOH,2018,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SOH_1,Ohio Crude Oil Reserves Adjustments (Million Barrels),MMBBL,0
